,pos,neg,sum,pos_pct
AFLK,1.0,,1.0,1.0
AFLL,42.0,6.0,48.0,0.875
AFLM,,1.0,1.0,
AFLN,1.0,1.0,2.0,0.5
AFLP,1.0,,1.0,1.0
AFLQ,2.0,,2.0,1.0
AFLR,2.0,1.0,3.0,0.6666666666666666
AFLU,1.0,,1.0,1.0
AFLV,3.0,2.0,5.0,0.6
AFLW,2.0,,2.0,1.0
AFLX,3.0,2.0,5.0,0.6
AFLY,1.0,,1.0,1.0
AFLZ,2.0,,2.0,1.0
AFM,1.0,2.0,3.0,0.3333333333333333
AFMA,2.0,,2.0,1.0
AFMC,2.0,,2.0,1.0
AFMD,10.0,2.0,12.0,0.8333333333333334
AFME,1.0,,1.0,1.0
AFMF,,1.0,1.0,
AFMH,1.0,,1.0,1.0
AFMJ,3.0,,3.0,1.0
AFML,,1.0,1.0,
AFMM,8.0,6.0,14.0,0.5714285714285714
AFMN,1.0,,1.0,1.0
AFMO,3.0,1.0,4.0,0.75
AFMP,,1.0,1.0,
AFMQ,2.0,,2.0,1.0
AFMS,2.0,,2.0,1.0
AFMT,2.0,1.0,3.0,0.6666666666666666
AFMU,1.0,,1.0,1.0
AFMV,,1.0,1.0,
AFMW,3.0,,3.0,1.0
AFMX,1.0,,1.0,1.0
AFMY,1.0,,1.0,1.0
AFMZ,5.0,3.0,8.0,0.625
AFN,2.0,4.0,6.0,0.3333333333333333
AFNA,1.0,,1.0,1.0
AFNB,2.0,,2.0,1.0
AFNC,1.0,,1.0,1.0
AFNE,1.0,,1.0,1.0
AFNG,15.0,6.0,21.0,0.7142857142857143
AFNH,1.0,,1.0,1.0
AFNI,1.0,,1.0,1.0
AFNJ,,1.0,1.0,
AFNK,1.0,,1.0,1.0
AFNL,1.0,,1.0,1.0
AFNM,1.0,,1.0,1.0
AFNN,,1.0,1.0,
AFNO,1.0,,1.0,1.0
AFNR,2.0,,2.0,1.0
AFNS,,1.0,1.0,
AFNT,1.0,,1.0,1.0
AFNV,1.0,,1.0,1.0
AFNW,1.0,1.0,2.0,0.5
AFNX,1.0,1.0,2.0,0.5
AFNY,1.0,1.0,2.0,0.5
AFNZ,1.0,1.0,2.0,0.5
AFOA,4.0,,4.0,1.0
AFOB,1.0,,1.0,1.0
AFOC,1.0,,1.0,1.0
AFOE,3.0,,3.0,1.0
AFOF,4.0,4.0,8.0,0.5
AFOG,2.0,,2.0,1.0
AFOH,2.0,,2.0,1.0
AFOJ,1.0,1.0,2.0,0.5
AFOL,1.0,,1.0,1.0
AFOO,2.0,1.0,3.0,0.6666666666666666
AFOP,12.0,,12.0,1.0
AFOQ,7.0,,7.0,1.0
AFOR,1.0,,1.0,1.0
AFOS,5.0,1.0,6.0,0.8333333333333334
AFOT,2.0,1.0,3.0,0.6666666666666666
AFOU,1.0,,1.0,1.0
AFOW,1.0,,1.0,1.0
AFOX,2.0,1.0,3.0,0.6666666666666666
AFOZ,111.0,41.0,152.0,0.7302631578947368
AFP,2.0,2.0,4.0,0.5
AFPB,3.0,,3.0,1.0
AFPC,3.0,1.0,4.0,0.75
AFPD,4.0,1.0,5.0,0.8
AFPF,1.0,3.0,4.0,0.25
AFPG,1.0,,1.0,1.0
AFPJ,,1.0,1.0,
AFPL,,1.0,1.0,
AFPM,1.0,,1.0,1.0
AFPN,,1.0,1.0,
AFPO,15.0,3.0,18.0,0.8333333333333334
AFPP,1.0,,1.0,1.0
AFPQ,4.0,1.0,5.0,0.8
AFPS,5.0,,5.0,1.0
AFPU,1.0,,1.0,1.0
AFPW,10.0,3.0,13.0,0.7692307692307693
AFPX,2.0,,2.0,1.0
AFPY,1.0,,1.0,1.0
AFPZ,1.0,1.0,2.0,0.5
AFQ,1.0,3.0,4.0,0.25
AFQA,1.0,,1.0,1.0
AFQB,2.0,1.0,3.0,0.6666666666666666
AFQC,2.0,1.0,3.0,0.6666666666666666
AFQD,1.0,,1.0,1.0
AFQF,2.0,1.0,3.0,0.6666666666666666
AFQH,3.0,3.0,6.0,0.5
AFQJ,2.0,,2.0,1.0
AFQK,1.0,,1.0,1.0
AFQL,9.0,4.0,13.0,0.6923076923076923
AFQM,1.0,,1.0,1.0
AFQN,12.0,6.0,18.0,0.6666666666666666
AFQO,1.0,,1.0,1.0
AFQP,10.0,5.0,15.0,0.6666666666666666
AFQQ,1.0,,1.0,1.0
AFQR,2.0,,2.0,1.0
AFQS,2.0,,2.0,1.0
AFQU,,1.0,1.0,
AFQV,,2.0,2.0,
AFQW,1.0,,1.0,1.0
AFQY,3.0,,3.0,1.0
AFQZ,,1.0,1.0,
AFR,8.0,3.0,11.0,0.7272727272727273
AFRB,6.0,1.0,7.0,0.8571428571428571
AFRC,,1.0,1.0,
AFRD,1.0,,1.0,1.0
AFRE,8.0,,8.0,1.0
AFRF,1.0,,1.0,1.0
AFRG,2.0,,2.0,1.0
AFRH,3.0,,3.0,1.0
AFRI,3.0,1.0,4.0,0.75
AFRJ,1.0,,1.0,1.0
AFRK,1.0,,1.0,1.0
AFRM,4.0,2.0,6.0,0.6666666666666666
AFRO,,1.0,1.0,
AFRP,3.0,2.0,5.0,0.6
AFRQ,1.0,3.0,4.0,0.25
AFRS,1.0,,1.0,1.0
AFRT,2.0,,2.0,1.0
AFRU,2.0,,2.0,1.0
AFRV,1.0,,1.0,1.0
AFRW,2.0,1.0,3.0,0.6666666666666666
AFRZ,3.0,,3.0,1.0
AFS,3.0,,3.0,1.0
AFSC,2.0,1.0,3.0,0.6666666666666666
AFSD,4.0,,4.0,1.0
AFSE,1.0,1.0,2.0,0.5
AFSF,2.0,,2.0,1.0
AFSG,1.0,,1.0,1.0
AFSI,1.0,,1.0,1.0
AFSJ,1.0,,1.0,1.0
AFSK,1.0,,1.0,1.0
AFSM,1.0,,1.0,1.0
AFSN,,1.0,1.0,
AFSO,,1.0,1.0,
AFSP,1.0,,1.0,1.0
AFSQ,1.0,,1.0,1.0
AFSS,1.0,,1.0,1.0
AFST,1.0,,1.0,1.0
AFSV,1.0,1.0,2.0,0.5
AFSW,1.0,,1.0,1.0
AFSX,1.0,,1.0,1.0
AFT,5.0,2.0,7.0,0.7142857142857143
AFTA,2.0,,2.0,1.0
AFTB,1.0,1.0,2.0,0.5
AFTC,3.0,1.0,4.0,0.75
AFTD,1.0,,1.0,1.0
AFTE,12.0,5.0,17.0,0.7058823529411765
AFTF,2.0,,2.0,1.0
AFTG,8.0,2.0,10.0,0.8
AFTI,,1.0,1.0,
AFTJ,9.0,1.0,10.0,0.9
AFTL,11.0,2.0,13.0,0.8461538461538461
AFTN,1.0,,1.0,1.0
AFTO,,1.0,1.0,
AFTP,1.0,,1.0,1.0
AFTQ,2.0,,2.0,1.0
AFTR,,1.0,1.0,
AFTS,3.0,2.0,5.0,0.6
AFTT,2.0,,2.0,1.0
AFTU,2.0,,2.0,1.0
AFTV,1.0,,1.0,1.0
AFTW,28.0,9.0,37.0,0.7567567567567568
AFTX,1.0,1.0,2.0,0.5
AFTY,2.0,,2.0,1.0
AFTZ,2.0,,2.0,1.0
AFU,5.0,,5.0,1.0
AFUA,11.0,1.0,12.0,0.9166666666666666
AFUD,3.0,,3.0,1.0
AFUE,1.0,,1.0,1.0
AFUF,77.0,24.0,101.0,0.7623762376237624
AFUG,4.0,,4.0,1.0
AFUJ,3.0,1.0,4.0,0.75
AFUK,,1.0,1.0,
AFUL,1.0,,1.0,1.0
AFUM,1.0,,1.0,1.0
AFUN,1.0,,1.0,1.0
AFUO,3.0,,3.0,1.0
AFUP,,1.0,1.0,
AFUQ,5.0,2.0,7.0,0.7142857142857143
AFUR,5.0,,5.0,1.0
AFUS,1.0,,1.0,1.0
AFUT,1.0,,1.0,1.0
AFUU,4.0,,4.0,1.0
AFUW,1.0,,1.0,1.0
AFUX,1.0,1.0,2.0,0.5
AFUY,1.0,,1.0,1.0
AFV,5.0,,5.0,1.0
AFVA,1.0,,1.0,1.0
AFVB,1.0,,1.0,1.0
AFVC,3.0,,3.0,1.0
AFVE,3.0,1.0,4.0,0.75
AFVF,1.0,,1.0,1.0
AFVG,1.0,,1.0,1.0
AFVH,3.0,,3.0,1.0
AFVI,1.0,,1.0,1.0
AFVJ,3.0,,3.0,1.0
AFVK,3.0,,3.0,1.0
AFVL,,1.0,1.0,
AFVM,7.0,1.0,8.0,0.875
AFVO,,1.0,1.0,
AFVP,,1.0,1.0,
AFVQ,3.0,,3.0,1.0
AFVR,1.0,,1.0,1.0
AFVU,,1.0,1.0,
AFVV,1.0,,1.0,1.0
AFVW,56.0,15.0,71.0,0.7887323943661971
AFVX,1.0,,1.0,1.0
AFVY,1.0,,1.0,1.0
AFVZ,3.0,,3.0,1.0
AFW,5.0,,5.0,1.0
AFWA,1.0,,1.0,1.0
AFWB,3.0,,3.0,1.0
AFWC,1.0,,1.0,1.0
AFWD,20.0,15.0,35.0,0.5714285714285714
AFWE,2.0,,2.0,1.0
AFWG,10.0,3.0,13.0,0.7692307692307693
AFWH,2.0,,2.0,1.0
AFWJ,1.0,1.0,2.0,0.5
AFWK,1.0,,1.0,1.0
AFWL,2.0,,2.0,1.0
AFWM,,2.0,2.0,
AFWP,,1.0,1.0,
AFWQ,1.0,,1.0,1.0
AFWS,2.0,,2.0,1.0
AFWT,7.0,1.0,8.0,0.875
AFWU,2.0,,2.0,1.0
AFWV,1.0,3.0,4.0,0.25
AFWX,1.0,,1.0,1.0
AFWY,2.0,2.0,4.0,0.5
AFWZ,32.0,3.0,35.0,0.9142857142857143
AFX,14.0,4.0,18.0,0.7777777777777778
AFXB,2.0,1.0,3.0,0.6666666666666666
AFXD,2.0,1.0,3.0,0.6666666666666666
AFXE,8.0,7.0,15.0,0.5333333333333333
AFXG,1.0,,1.0,1.0
AFXH,7.0,,7.0,1.0
AFXK,13.0,1.0,14.0,0.9285714285714286
AFXN,3.0,,3.0,1.0
AFXP,1.0,,1.0,1.0
AFXQ,1.0,,1.0,1.0
AFXR,1.0,1.0,2.0,0.5
AFXS,1.0,,1.0,1.0
AFXU,1.0,,1.0,1.0
AFXW,,1.0,1.0,
AFXX,1.0,,1.0,1.0
AFXY,3.0,,3.0,1.0
AFXZ,1.0,,1.0,1.0
AFY,1.0,,1.0,1.0
AFYA,1.0,2.0,3.0,0.3333333333333333
AFYB,3.0,1.0,4.0,0.75
AFYD,1.0,,1.0,1.0
AFYE,,1.0,1.0,
AFYF,1.0,,1.0,1.0
AFYG,,1.0,1.0,
AFYH,,2.0,2.0,
AFYI,10.0,1.0,11.0,0.9090909090909091
AFYJ,1.0,1.0,2.0,0.5
AFYK,1.0,,1.0,1.0
AFYL,5.0,,5.0,1.0
AFYM,,1.0,1.0,
AFYN,3.0,2.0,5.0,0.6
AFYO,,2.0,2.0,
AFYP,5.0,,5.0,1.0
AFYQ,9.0,4.0,13.0,0.6923076923076923
AFYR,7.0,1.0,8.0,0.875
AFYS,1.0,,1.0,1.0
AFYT,14.0,6.0,20.0,0.7
AFYU,120.0,39.0,159.0,0.7547169811320755
AFYV,1.0,,1.0,1.0
AFYW,1.0,,1.0,1.0
AFYX,1.0,,1.0,1.0
AFYZ,6.0,,6.0,1.0
AFZ,5.0,2.0,7.0,0.7142857142857143
AFZB,1.0,,1.0,1.0
AFZD,,1.0,1.0,
AFZF,1.0,,1.0,1.0
AFZG,12.0,2.0,14.0,0.8571428571428571
AFZI,1.0,,1.0,1.0
AFZJ,1.0,1.0,2.0,0.5
AFZN,3.0,2.0,5.0,0.6
AFZO,2.0,,2.0,1.0
AFZP,11.0,6.0,17.0,0.6470588235294118
AFZQ,16.0,6.0,22.0,0.7272727272727273
AFZU,2.0,,2.0,1.0
AFZV,1.0,,1.0,1.0
AFZW,2.0,1.0,3.0,0.6666666666666666
AFZX,1.0,,1.0,1.0
AFZY,1.0,1.0,2.0,0.5
AFZZ,1.0,,1.0,1.0
AG,4.0,,4.0,1.0
AGA,12.0,1.0,13.0,0.9230769230769231
AGAA,6.0,,6.0,1.0
AGAC,,1.0,1.0,
AGAE,1.0,,1.0,1.0
AGAF,1.0,,1.0,1.0
AGAG,3.0,,3.0,1.0
AGAI,3.0,,3.0,1.0
AGAJ,1.0,,1.0,1.0
AGAK,1.0,1.0,2.0,0.5
AGAL,1.0,,1.0,1.0
AGAM,2.0,1.0,3.0,0.6666666666666666
AGAN,1.0,,1.0,1.0
AGAO,7.0,2.0,9.0,0.7777777777777778
AGAP,,4.0,4.0,
AGAR,4.0,,4.0,1.0
AGAS,2.0,,2.0,1.0
AGAT,2.0,,2.0,1.0
AGAV,1.0,1.0,2.0,0.5
AGAX,2.0,2.0,4.0,0.5
AGAY,2.0,,2.0,1.0
AGB,17.0,4.0,21.0,0.8095238095238095
AGBA,37.0,10.0,47.0,0.7872340425531915
AGBB,1.0,,1.0,1.0
AGBC,2.0,,2.0,1.0
AGBD,1.0,,1.0,1.0
AGBE,1.0,,1.0,1.0
AGBF,2.0,1.0,3.0,0.6666666666666666
AGBG,2.0,,2.0,1.0
AGBH,2.0,,2.0,1.0
AGBK,1.0,,1.0,1.0
AGBN,14.0,3.0,17.0,0.8235294117647058
AGBP,2.0,,2.0,1.0
AGBR,5.0,1.0,6.0,0.8333333333333334
AGBS,3.0,,3.0,1.0
AGBT,1.0,1.0,2.0,0.5
AGBU,1.0,1.0,2.0,0.5
AGBX,2.0,1.0,3.0,0.6666666666666666
AGBZ,5.0,1.0,6.0,0.8333333333333334
AGC,6.0,,6.0,1.0
AGCA,1.0,,1.0,1.0
AGCB,16.0,3.0,19.0,0.8421052631578947
AGCC,2.0,,2.0,1.0
AGCD,,1.0,1.0,
AGCF,1.0,,1.0,1.0
AGCH,,2.0,2.0,
AGCI,16.0,3.0,19.0,0.8421052631578947
AGCJ,1.0,,1.0,1.0
AGCL,1.0,,1.0,1.0
AGCN,3.0,,3.0,1.0
AGCO,3.0,,3.0,1.0
AGCP,3.0,,3.0,1.0
AGCQ,1.0,,1.0,1.0
AGCR,7.0,,7.0,1.0
AGCS,2.0,1.0,3.0,0.6666666666666666
AGCT,1.0,,1.0,1.0
AGCU,2.0,,2.0,1.0
AGCV,1.0,,1.0,1.0
AGCW,2.0,1.0,3.0,0.6666666666666666
AGCX,1.0,,1.0,1.0
AGCY,1.0,2.0,3.0,0.3333333333333333
AGCZ,3.0,,3.0,1.0
AGD,1.0,,1.0,1.0
AGDC,1.0,,1.0,1.0
AGDD,2.0,,2.0,1.0
AGDE,3.0,,3.0,1.0
AGDF,1881.0,505.0,2386.0,0.7883487007544007
AGDG,1.0,,1.0,1.0
AGDI,1.0,1.0,2.0,0.5
AGDJ,1.0,,1.0,1.0
AGDK,2.0,1.0,3.0,0.6666666666666666
AGDL,1.0,,1.0,1.0
AGDM,8.0,,8.0,1.0
AGDN,6.0,2.0,8.0,0.75
AGDO,20.0,4.0,24.0,0.8333333333333334
AGDP,8.0,,8.0,1.0
AGDQ,,1.0,1.0,
AGDR,,1.0,1.0,
AGDS,2.0,,2.0,1.0
AGDT,2.0,1.0,3.0,0.6666666666666666
AGDU,7.0,,7.0,1.0
AGDZ,1.0,,1.0,1.0
AGE,4.0,1.0,5.0,0.8
AGEB,2.0,,2.0,1.0
AGEC,1.0,,1.0,1.0
AGED,1.0,,1.0,1.0
AGEE,1.0,1.0,2.0,0.5
AGEG,,1.0,1.0,
AGEH,1.0,,1.0,1.0
AGEI,5.0,1.0,6.0,0.8333333333333334
AGEJ,1.0,,1.0,1.0
AGEK,4.0,1.0,5.0,0.8
AGEL,1.0,,1.0,1.0
AGEN,1.0,1.0,2.0,0.5
AGEO,1.0,1.0,2.0,0.5
AGEP,15.0,5.0,20.0,0.75
AGEQ,1.0,,1.0,1.0
AGER,,1.0,1.0,
AGES,1.0,,1.0,1.0
AGET,1.0,,1.0,1.0
AGEU,3.0,,3.0,1.0
AGEW,5.0,,5.0,1.0
AGEY,1.0,,1.0,1.0
AGEZ,1.0,1.0,2.0,0.5
AGF,5.0,2.0,7.0,0.7142857142857143
AGFA,1.0,,1.0,1.0
AGFB,10.0,10.0,20.0,0.5
AGFC,6.0,5.0,11.0,0.5454545454545454
AGFD,2.0,2.0,4.0,0.5
AGFF,1.0,,1.0,1.0
AGFG,1.0,,1.0,1.0
AGFI,1.0,,1.0,1.0
AGFK,,1.0,1.0,
AGFL,1.0,,1.0,1.0
AGFM,3.0,,3.0,1.0
AGFN,1.0,,1.0,1.0
AGFP,6.0,1.0,7.0,0.8571428571428571
AGFQ,1.0,,1.0,1.0
AGFR,1.0,,1.0,1.0
AGFS,18.0,9.0,27.0,0.6666666666666666
AGFT,1.0,,1.0,1.0
AGFU,,3.0,3.0,
AGFV,4.0,,4.0,1.0
AGFW,2.0,,2.0,1.0
AGFX,3.0,1.0,4.0,0.75
AGG,2.0,,2.0,1.0
AGGA,,1.0,1.0,
AGGB,1.0,,1.0,1.0
AGGC,1.0,1.0,2.0,0.5
AGGD,1.0,,1.0,1.0
AGGE,1.0,,1.0,1.0
AGGF,7.0,1.0,8.0,0.875
AGGG,1.0,1.0,2.0,0.5
AGGI,16.0,10.0,26.0,0.6153846153846154
AGGJ,,1.0,1.0,
AGGK,1.0,1.0,2.0,0.5
AGGL,3.0,,3.0,1.0
AGGM,1.0,,1.0,1.0
AGGN,2.0,,2.0,1.0
AGGP,1.0,,1.0,1.0
AGGR,1.0,,1.0,1.0
AGGS,4.0,1.0,5.0,0.8
AGGV,2.0,1.0,3.0,0.6666666666666666
AGGW,1.0,,1.0,1.0
AGGY,1.0,1.0,2.0,0.5
AGGZ,1.0,,1.0,1.0
AGH,3.0,,3.0,1.0
AGHA,,1.0,1.0,
AGHB,,1.0,1.0,
AGHC,1.0,,1.0,1.0
AGHD,2.0,1.0,3.0,0.6666666666666666
AGHF,1.0,,1.0,1.0
AGHG,1.0,,1.0,1.0
AGHH,9.0,6.0,15.0,0.6
AGHI,1.0,,1.0,1.0
AGHJ,2.0,1.0,3.0,0.6666666666666666
AGHK,,1.0,1.0,
AGHL,24.0,11.0,35.0,0.6857142857142857
AGHM,3.0,,3.0,1.0
AGHN,2.0,2.0,4.0,0.5
AGHO,31.0,9.0,40.0,0.775
AGHQ,10.0,3.0,13.0,0.7692307692307693
AGHR,1.0,1.0,2.0,0.5
AGHS,1.0,,1.0,1.0
AGHT,1.0,,1.0,1.0
AGHU,5.0,1.0,6.0,0.8333333333333334
AGHV,4.0,1.0,5.0,0.8
AGHX,2.0,,2.0,1.0
AGHY,1.0,1.0,2.0,0.5
AGHZ,5.0,2.0,7.0,0.7142857142857143
AGI,4.0,1.0,5.0,0.8
AGIA,3.0,1.0,4.0,0.75
AGIC,15.0,9.0,24.0,0.625
AGID,1.0,,1.0,1.0
AGIG,,2.0,2.0,
AGIH,1.0,,1.0,1.0
AGII,21.0,9.0,30.0,0.7
AGIJ,2.0,1.0,3.0,0.6666666666666666
AGIK,1.0,1.0,2.0,0.5
AGIL,1.0,,1.0,1.0
AGIN,7.0,1.0,8.0,0.875
AGIO,1.0,,1.0,1.0
AGIP,2.0,2.0,4.0,0.5
AGIS,1.0,2.0,3.0,0.3333333333333333
AGIT,1.0,,1.0,1.0
AGIU,3.0,,3.0,1.0
AGIV,3.0,,3.0,1.0
AGIW,2.0,,2.0,1.0
AGIX,1.0,1.0,2.0,0.5
AGJ,4.0,1.0,5.0,0.8
AGJA,1.0,,1.0,1.0
AGJB,3.0,,3.0,1.0
AGJD,2.0,1.0,3.0,0.6666666666666666
AGJF,2.0,,2.0,1.0
AGJG,2.0,,2.0,1.0
AGJH,1.0,1.0,2.0,0.5
AGJI,2.0,,2.0,1.0
AGJJ,8.0,1.0,9.0,0.8888888888888888
AGJN,3.0,,3.0,1.0
AGJP,,2.0,2.0,
AGJQ,2.0,,2.0,1.0
AGJS,2.0,1.0,3.0,0.6666666666666666
AGJU,1.0,,1.0,1.0
AGJV,2.0,2.0,4.0,0.5
AGJW,1.0,,1.0,1.0
AGJX,2.0,,2.0,1.0
AGJZ,2.0,1.0,3.0,0.6666666666666666
AGK,2.0,,2.0,1.0
AGKC,1.0,,1.0,1.0
AGKD,,1.0,1.0,
AGKE,2.0,,2.0,1.0
AGKF,1.0,,1.0,1.0
AGKG,,1.0,1.0,
AGKI,2.0,,2.0,1.0
AGKJ,,1.0,1.0,
AGKK,1.0,,1.0,1.0
AGKL,3.0,,3.0,1.0
AGKM,2.0,1.0,3.0,0.6666666666666666
AGKN,3.0,,3.0,1.0
AGKO,3.0,,3.0,1.0
AGKP,,1.0,1.0,
AGKQ,6.0,,6.0,1.0
AGKR,,1.0,1.0,
AGKS,,1.0,1.0,
AGKU,4.0,4.0,8.0,0.5
AGKV,2.0,,2.0,1.0
AGKW,5.0,1.0,6.0,0.8333333333333334
AGKY,1.0,,1.0,1.0
AGL,11.0,2.0,13.0,0.8461538461538461
AGLB,2.0,,2.0,1.0
AGLC,1.0,1.0,2.0,0.5
AGLE,4.0,,4.0,1.0
AGLF,4.0,1.0,5.0,0.8
AGLH,1.0,,1.0,1.0
AGLK,6.0,3.0,9.0,0.6666666666666666
AGLM,23.0,10.0,33.0,0.696969696969697
AGLN,,1.0,1.0,
AGLP,2.0,,2.0,1.0
AGLQ,34.0,12.0,46.0,0.7391304347826086
AGLS,1.0,,1.0,1.0
AGLT,3.0,2.0,5.0,0.6
AGLU,1.0,,1.0,1.0
AGLV,3.0,1.0,4.0,0.75
AGLW,3.0,,3.0,1.0
AGLX,,1.0,1.0,
AGLZ,1.0,,1.0,1.0
AGM,6.0,2.0,8.0,0.75
AGMA,2.0,,2.0,1.0
AGMB,,1.0,1.0,
AGMC,,1.0,1.0,
AGME,3.0,2.0,5.0,0.6
AGMI,,1.0,1.0,
AGMJ,1.0,,1.0,1.0
AGMM,2.0,1.0,3.0,0.6666666666666666
AGMN,2.0,3.0,5.0,0.4
AGMO,92.0,30.0,122.0,0.7540983606557377
AGMQ,7.0,1.0,8.0,0.875
AGMR,3.0,,3.0,1.0
AGMS,4.0,,4.0,1.0
AGMT,10.0,2.0,12.0,0.8333333333333334
AGMU,49.0,20.0,69.0,0.7101449275362319
AGMV,2.0,,2.0,1.0
AGMX,9.0,2.0,11.0,0.8181818181818182
AGMY,4.0,,4.0,1.0
AGMZ,3.0,1.0,4.0,0.75
AGN,7.0,4.0,11.0,0.6363636363636364
AGNA,1.0,,1.0,1.0
AGNB,3.0,,3.0,1.0
AGNC,2.0,,2.0,1.0
AGND,7.0,1.0,8.0,0.875
AGNE,1.0,,1.0,1.0
AGNF,2.0,,2.0,1.0
AGNG,4.0,,4.0,1.0
AGNJ,1.0,,1.0,1.0
AGNK,1.0,,1.0,1.0
AGNQ,3.0,,3.0,1.0
AGNR,,1.0,1.0,
AGNS,1.0,,1.0,1.0
AGNT,2.0,,2.0,1.0
AGNU,,1.0,1.0,
AGNV,4.0,2.0,6.0,0.6666666666666666
AGNW,1.0,1.0,2.0,0.5
AGNX,3.0,,3.0,1.0
AGNY,1.0,1.0,2.0,0.5
AGNZ,1.0,,1.0,1.0
AGO,9.0,3.0,12.0,0.75
AGOA,1.0,,1.0,1.0
AGOB,1.0,,1.0,1.0
AGOC,3.0,,3.0,1.0
AGOD,7.0,3.0,10.0,0.7
AGOE,10.0,3.0,13.0,0.7692307692307693
AGOF,1.0,2.0,3.0,0.3333333333333333
AGOG,,3.0,3.0,
AGOI,4.0,,4.0,1.0
AGOJ,31.0,9.0,40.0,0.775
AGOK,1.0,,1.0,1.0
AGOL,3.0,,3.0,1.0
AGOM,1.0,,1.0,1.0
AGON,111.0,56.0,167.0,0.6646706586826348
AGOO,1.0,,1.0,1.0
AGOQ,1.0,,1.0,1.0
AGOS,1.0,,1.0,1.0
AGOT,1.0,1.0,2.0,0.5
AGOU,20.0,6.0,26.0,0.7692307692307693
AGOX,6.0,2.0,8.0,0.75
AGOY,1.0,,1.0,1.0
AGOZ,2.0,1.0,3.0,0.6666666666666666
AGP,4.0,3.0,7.0,0.5714285714285714
AGPB,1.0,2.0,3.0,0.3333333333333333
AGPC,2.0,,2.0,1.0
AGPF,,1.0,1.0,
AGPG,,1.0,1.0,
AGPH,1.0,2.0,3.0,0.3333333333333333
AGPI,1.0,,1.0,1.0
AGPJ,3.0,,3.0,1.0
AGPK,2.0,,2.0,1.0
AGPL,2.0,1.0,3.0,0.6666666666666666
AGPM,61.0,15.0,76.0,0.8026315789473685
AGPN,1.0,2.0,3.0,0.3333333333333333
AGPO,1.0,,1.0,1.0
AGPQ,9.0,1.0,10.0,0.9
AGPS,,1.0,1.0,
AGPT,1.0,,1.0,1.0
AGPU,3.0,1.0,4.0,0.75
AGPV,,3.0,3.0,
AGPW,4.0,,4.0,1.0
AGPX,3.0,1.0,4.0,0.75
AGPY,3.0,,3.0,1.0
AGPZ,3.0,,3.0,1.0
AGQ,8.0,8.0,16.0,0.5
AGQA,1.0,,1.0,1.0
AGQC,3.0,1.0,4.0,0.75
AGQD,2.0,,2.0,1.0
AGQE,1.0,,1.0,1.0
AGQF,3.0,,3.0,1.0
AGQG,5.0,,5.0,1.0
AGQH,1.0,,1.0,1.0
AGQI,12.0,3.0,15.0,0.8
AGQJ,1.0,,1.0,1.0
AGQK,,1.0,1.0,
AGQL,1.0,,1.0,1.0
AGQN,1.0,,1.0,1.0
AGQO,1.0,,1.0,1.0
AGQP,5.0,1.0,6.0,0.8333333333333334
AGQQ,3.0,2.0,5.0,0.6
AGQR,11.0,3.0,14.0,0.7857142857142857
AGQS,,1.0,1.0,
AGQU,1.0,,1.0,1.0
AGQV,2.0,1.0,3.0,0.6666666666666666
AGQY,6.0,,6.0,1.0
AGQZ,14.0,4.0,18.0,0.7777777777777778
AGR,5.0,,5.0,1.0
AGRA,2.0,1.0,3.0,0.6666666666666666
AGRB,1.0,,1.0,1.0
AGRC,8.0,2.0,10.0,0.8
AGRD,1.0,,1.0,1.0
AGRF,1.0,,1.0,1.0
AGRH,1.0,,1.0,1.0
AGRI,4.0,2.0,6.0,0.6666666666666666
AGRK,1.0,,1.0,1.0
AGRL,1.0,,1.0,1.0
AGRM,5.0,,5.0,1.0
AGRN,1.0,2.0,3.0,0.3333333333333333
AGRO,22.0,8.0,30.0,0.7333333333333333
AGRP,11.0,2.0,13.0,0.8461538461538461
AGRQ,2.0,,2.0,1.0
AGRR,2.0,,2.0,1.0
AGRU,3.0,5.0,8.0,0.375
AGRV,3.0,1.0,4.0,0.75
AGRW,1.0,,1.0,1.0
AGRY,1.0,,1.0,1.0
AGRZ,1.0,2.0,3.0,0.3333333333333333
AGS,6.0,1.0,7.0,0.8571428571428571
AGSB,4.0,,4.0,1.0
AGSC,4.0,,4.0,1.0
AGSD,1.0,,1.0,1.0
AGSF,1.0,,1.0,1.0
AGSG,3.0,,3.0,1.0
AGSH,2.0,1.0,3.0,0.6666666666666666
AGSI,2.0,,2.0,1.0
AGSJ,1.0,,1.0,1.0
AGSK,8.0,2.0,10.0,0.8
AGSM,,1.0,1.0,
AGSN,1.0,,1.0,1.0
AGSO,,1.0,1.0,
AGSP,2.0,,2.0,1.0
AGSQ,2.0,,2.0,1.0
AGSS,2.0,,2.0,1.0
AGSU,,1.0,1.0,
AGSV,2.0,,2.0,1.0
AGSW,3.0,2.0,5.0,0.6
AGSX,,1.0,1.0,
AGSY,5.0,2.0,7.0,0.7142857142857143
AGSZ,2.0,1.0,3.0,0.6666666666666666
AGT,61.0,17.0,78.0,0.782051282051282
AGTA,2.0,2.0,4.0,0.5
AGTB,5.0,3.0,8.0,0.625
AGTC,6.0,,6.0,1.0
AGTD,1.0,,1.0,1.0
AGTE,1.0,2.0,3.0,0.3333333333333333
AGTF,1.0,,1.0,1.0
AGTG,5.0,3.0,8.0,0.625
AGTH,8.0,3.0,11.0,0.7272727272727273
AGTI,1.0,,1.0,1.0
